Date,2014,2015,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,2016,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,2017,18-May,18-Jun,18-Jul,18-Aug,18-Sep,2018,2019,2020,21-Feb,21-Mar,21-Apr,21-May,21-Jun,2021,22-Feb,22-Mar,22-Apr,22-May,22-Jun,2021,2022,23-May,23-Jun,23-Jul,23-Aug,23-Sep
Asia and Pacific,5,4,3,3,4,5,3,4,4,3,3,4,2,3,2,2,4,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,1,2,0,0,0,0,0
Interest rate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
short-term,5,4,3,3,4,5,3,4,4,3,3,4,2,3,2,2,4,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,1,2,0,0,0,0,0
long-term,1,2,1,1,2,2,2,2,3,3,2,2,3,3,5,5,4,5,6,4,5,5,6,7,9,7,7,8,15,13,12,8,9,8,13,15,15,17,15,16
Foreign exchange,13,8,3,4,9,7,8,9,6,10,11,19,11,17,16,24,5,9,8,14,24,17,19,7,10,13,18,12,9,10,7,4,4,12,8,31,34,18,18,9
Other Markets,10,6,1,1,6,5,5,6,4,8,9,15,9,14,13,21,3,7,6,12,22,15,11,6,8,11,16,10,8,9,6,3,3,10,7,30,33,17,17,8
Interest rate,10,6,1,1,6,5,5,6,4,8,9,15,9,14,13,21,3,7,6,12,22,15,10,6,8,11,16,10,8,9,6,3,3,10,7,30,33,17,17,8
short-term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
long-term,3,2,2,2,2,2,3,2,3,2,2,4,3,3,2,3,2,3,3,2,2,2,8,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2
Foreign exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
